Tilt_Readings,Water_Depth,Seismic_Activity,Coastal_Location,Tsunami_Occurrence
-22.58277860747475,186.82040923334924,7.299983109899704,0,0
81.12857515378491,166.45604811570163,1.8451199559871156,0,0
41.75890952605292,88.07695625143003,3.4663969436988618,1,0
17.758527155466595,303.633335050744,6.632806368578183,0,0
-61.916644720361425,238.31208025431445,4.820893445244799,1,0
-61.92098633948352,432.85049616200183,7.385710386348938,0,0
-79.5449498097241,16.054790241029128,9.612079012228596,0,0
65.91170623948832,321.9339637775632,1.165466877151975,0,0
18.20070211377758,381.47443925578057,7.095677163980609,1,0
37.45306400328819,379.7432845941535,2.303441556321145,1,0
-86.29479102675556,443.03698354776253,4.144767274075693,0,0
84.58377338915898,364.516871414747,0.32862725795139824,0,0
59.839675344075914,463.90503082384816,1.3590738229269894,0,0
-51.77896007791029,166.32829991044574,3.197772890488997,0,0
-57.27150590272189,251.60470837577154,3.4198580528798495,0,0
-56.98718822638191,7.039831641445337,8.995852164620958,0,0
-35.23639626728321,3.4787936516456064,7.418129092665151,0,0
4.456157693802808,120.06331022575995,9.72182968187041,1,0
-12.249896644419167,50.40359856954263,5.9907151033524055,1,0
-37.57875476435245,130.10568396787681,2.41713732091318,0,0
20.133521050028307,88.5216472641987,3.276550299216429,0,0
-64.89110508263246,14.26001241932412,3.198359232919671,0,0
-37.41396326366073,454.6520732030247,3.2649432766325157,0,0
-24.0548682071355,4.111565694445762,6.729641731118157,0,0
-7.907402840933528,368.0410721685427,5.308079280904162,0,0
51.33167305074244,76.07394345975827,3.854241780866443,1,0
-54.058719211495244,456.1148109998,1.490897687287166,1,0
2.562198914450093,446.39796979494287,0.22139162942145907,1,0
16.63462239516764,326.9505731846287,2.188346775876926,0,0
-81.63892571040041,336.11707490030255,1.0747140396868127,1,0
19.358073342258905,2.6695709848442717,7.854450308522393,0,0
-59.30565773628753,492.43578305680103,1.1249795781388539,1,0
-78.29071326264969,438.9163017879072,7.242282373068361,0,0
80.79939670559997,447.553112865046,3.8565868977608266,1,0
83.81376595342067,329.62226852543597,0.7337838974377597,0,0
55.51152266096301,172.39346432726828,8.127300494315858,1,1
-35.16952154879328,446.8243245452404,5.7963057023661335,1,0
-72.4190194788509,145.75846407559618,2.3576151286357305,1,0
33.161944772188235,281.3557716711014,8.946811743326679,0,0
